year,sex,number_of_cm,name,age,group
2006,m,8,松岡　修造,38,
2006,m,7,唐沢　寿明,42,
2006,m,7,草_　剛,31,
2006,m,7,坂口　憲二,30,
2006,m,7,中居　正広,33,
2006,m,6,妻夫木　聡,25,
2006,m,6,長瀬　智也,27,
2006,m,6,中村　俊輔,27,
2006,m,6,並樹　史朗,48,
2006,m,6,山口　智充,37,
2006,f,10,上戸　彩,20,
2006,f,9,伊東　美咲,28,
2006,f,9,相武　紗季,20,
2006,f,9,蛯原　友里,26,
2006,f,9,篠原　涼子,32,
2006,f,9,仲間　由紀恵,26,
2006,f,9,宮里　藍,20,
2006,f,8,眞鍋　かをり,25,
2006,f,8,山田　優,21,
2006,f,7,天海　祐希,38,
2006,f,7,荒川　静香,24,
2006,f,7,小雪,29,
2006,f,7,鈴木　京香,37,
2006,f,7,長澤　まさみ,18,
2006,f,7,松浦　亜弥,19,
2007,m,11,木村　拓哉,34,
2007,m,10,松岡　修造,39,
2007,m,9,香取　慎吾,30,
2007,m,8,劇団ひとり,30,
2007,m,7,草_　剛,32,
2007,m,7,速水　もこみち,22,
2007,m,7,タカ アンド トシ,_,
2007,m,7,玉木　宏,27,
2007,m,7,松岡　昌宏,30,
2007,m,6,阿部　寛,42,
2007,m,6,イチロー,33,
2007,m,6,岡田　将生,17,
2007,m,6,佐藤　弘道,38,
2007,m,6,佐藤　隆太,27,
2007,m,6,妻夫木　聡,26,
2007,m,6,中居　正広,34,
2007,m,6,福山　雅治,38,
2007,m,6,星野　仙一,60,
2007,m,6,松井　秀喜,32,
2007,m,6,山下　智久,21,
2007,f,11,ベッキー,23,
2007,f,11,篠原　涼子,33,
2007,f,10,相武　紗季,21,
2007,f,10,蛯原　友里,27,
2007,f,10,倖田　來未,24,
2007,f,9,仲間　由紀恵,27,
2007,f,9,森迫　永依,9,
2007,f,8,新垣　結衣,18,
2007,f,8,宮_　あおい,21,
2007,f,8,相沢　紗世,28,
2007,f,8,蒼井　優,21,
2007,f,7,天海　祐希,39,
2007,f,7,石原　さとみ,20,
2007,f,7,押切　もえ,27,
2007,f,7,堀北　真希,18,
2007,f,7,西山　茉希,21,
2007,f,7,藤原　紀香,35,
2007,f,7,松下　奈緒,22,
2007,f,7,宮里　藍,21,
2007,f,7,山田　優,22,
2007,f,7,長澤　まさみ,19,
