drama_title,drama_category,,,main_actor,start_at
恋愛ニート～忘れた恋のはじめ方～,ラブコメディー,TBS,金曜22:00 - 22:54,仲間由紀恵,2012-01-01
13歳のハローワーク,SF人間ドラマ,テレビ朝日,金曜23:15 - 翌0:15,松岡昌宏,2012-01-01
撮らないで下さい!!グラビアアイドル裏物語,パロディドラマ,テレビ東京,土曜0:12 - 0:53,,2012-01-01
さばドル,パロディドラマ,テレビ東京,土曜0:53 - 1:23,渡辺麻友,2012-01-01
白戸修の事件簿,推理ドラマ,TBS,土曜0:20 - 0:50,千葉雄大,2012-01-01
理想の息子,ホームコメディー,日本テレビ,土曜21:00 - 21:54,山田涼介,2012-01-01
ミューズの鏡,コメディードラマ,日本テレビ,日曜1:55 - 2:10,指原莉乃,2012-01-01
平清盛,大河ドラマ,NHK,日曜20:00 - 20:45,松山ケンイチ,2012-01-01
運命の人,経済ドラマ,TBS,日曜21:00 - 21:54,本木雅弘,2012-01-01
早海さんと呼ばれる日,ホームコメディー,フジテレビ,日曜21:00 - 21:54,松下奈緒,2012-01-01
妄想捜査～桑潟幸一准教授のスタイリッシュな生活,推理ドラマ,テレビ朝日,日曜23:00 - 23:55,佐藤隆太,2012-01-01
クロヒョウ2 龍が如く 阿修羅編,犯罪ドラマ,毎日放送,月曜0:50 - 1:20,斎藤工,2012-04-01
ハンチョウ5～警視庁安積班～,刑事ドラマ,TBS,月曜20:00 - 20:54,佐々木蔵之介,2012-04-01
鍵のかかった部屋,推理ドラマ,フジテレビ,月曜21:00 - 21:54,大野智,2012-04-01
放課後はミステリーとともに,ミステリードラマ,TBS,火曜0:20 - 0:59,川口春奈,2012-04-01
スープカレー,ヒューマンドラマ,HBC,火曜2:04 - 2:34,TEAM NACS,2012-04-01
リーガル・ハイ,法廷ものコメディー,フジテレビ,火曜21:00 - 21:54,堺雅人,2012-04-01
37歳で医者になった僕～研修医純情物語～,医療ヒューマン,関西テレビ,火曜22:00 - 22:54,草_剛,2012-04-01
はつ恋,恋愛ドラマ,NHK,火曜22:00 - 22:48,木村佳乃,2012-04-01
コドモ警察,刑事コメディー,毎日放送,水曜0:55 - 1:25,鈴木福,2012-04-01
Answer～警視庁検証捜査官,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,観月ありさ,2012-04-01
クレオパトラな女たち,医療ドラマ,日本テレビ,水曜22:00 - 22:54,佐藤隆太,2012-04-01
新・おみやさん,刑事ミステリー,テレビ朝日,木曜20:00 - 20:54,渡瀬恒彦,2012-04-01
Wの悲劇,サスペンス推理,テレビ朝日,木曜21:00 - 21:54,武井咲,2012-04-01
パパドル!,パロディドラマ,TBS,木曜21:00 - 21:54,錦戸亮,2012-04-01
カエルの王女さま,音楽ドラマ,フジテレビ,木曜22:00 - 22:54,天海祐希,2012-04-01
たぶらかし-代行女優業・マキ-,ミステリードラマ,読売テレビ,木曜23:58 - 翌0:38,谷村美月,2012-04-01
もう一度君に、プロポーズ,ホームドラマ,TBS,金曜22:00 - 22:54,竹野内豊,2012-04-01
都市伝説の女,刑事コメディー,テレビ朝日,金曜23:15 - 翌0:15,長澤まさみ,2012-04-01
クローバー,学園ドラマ,テレビ東京,土曜0:12 - 0:53,賀来賢人,2012-04-01
D×TOWN,オムニバスドラマ,テレビ東京,土曜1:23 - 1:53,D-BOYS,2012-04-01
三毛猫ホームズの推理,推理ドラマ,日本テレビ,土曜21:00 - 21:54,相葉雅紀,2012-04-01
未来日記-ANOTHER：WORLD-,SF・ファンタジードラマ,フジテレビ,土曜23:10 - 23:55,岡田将生,2012-04-01
私立バカレア高校,学園コメディー,日本テレビ,日曜0:50 - 1:20,ジャニーズJr.,2012-04-01
平清盛,大河ドラマ,NHK,日曜20:00 - 20:45,松山ケンイチ,2012-04-01
ATARU,刑事推理,TBS,日曜21:00 - 21:54,中居正広,2012-04-01
家族のうた,ホームドラマ,フジテレビ,日曜21:00 - 21:54,オダギリジョー,2012-04-01
浪花少年探偵団,推理ドラマ,TBS,月曜20:00 - 20:54,多部未華子,2012-07-01
リッチマン、プアウーマン,ロマンティック・コメディ/経済ドラマ,フジテレビ,月曜21:00 - 21:54,小栗旬,2012-07-01
